intake_year,school_name,la_code,estab_code,dfe_no,pan,total_preferences,total_offered,last_distance_offered
2020,All Saints Church of England (Aided) Infant School,936,3407,936/3407,30,141,30,3.659
2020,Badshot Lea Village Infant School,936,2415,936/2415,45,143,45,1.299
2020,Beacon Hill Primary School,936,2136,936/2136,30,58,30,1.861
2020,Bramley Church of England (Aided) Infant School,936,3925,936/3925,30,72,28,
2020,Busbridge Infant School,936,2917,936/2917,60,240,60,1.137
2020,Cranleigh Church of England Primary School,936,3944,936/3944,30,51,30,
2020,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,30,62,30,
2020,Farncombe Church of England Infant School,936,3026,936/3026,50,161,48,0.484
2020,Folly Hill Infant School,936,2408,936/2408,30,89,30,1.665
2020,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,30,118,30,4.972
2020,Hale School,936,2957,936/2957,60,55,37,
2020,Highfield South Farnham Primary School,936,2033,936/2033,30,118,52,
2020,Loseley Fields Primary School,936,3939,936/3939,60,63,55,
2020,Milford School,936,2315,936/2315,60,170,60,1.891
2020,Moss Lane School,936,2409,936/2409,60,232,60,0.916
2020,Park Mead Primary School,936,5211,936/5211,60,121,60,0.695
2020,Potters Gate Church of England Primary School,936,3062,936/3062,60,126,50,
2020,Shottermill Infant School,936,2138,936/2138,60,149,60,4.806
2020,South Farnham School,936,2479,936/2479,90,226,90,0.659
2020,St Andrew's Church of England Infant School,936,3024,936/3024,30,99,22,
2020,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,60,132,59,0.987
2020,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,30,63,30,0.889
2020,St Edmund's Catholic Primary School,936,3462,936/3462,30,96,30,2.746
2020,St James Church of England (Aided) Primary School,936,3335,936/3335,30,51,26,
2020,St John's Church of England (Aided) Infant School,936,3347,936/3347,30,54,27,
2020,St Mark & All Saints CofE Primary School,936,2043,936/2043,30,17,17,
2020,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,30,135,30,4.123
2020,St Mary's Church of England Primary School,936,2020,936/2020,30,58,30,2.172
2020,St Peter's Church of England Primary School,936,3345,936/3345,60,118,50,
2020,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,60,107,60,3.019
2020,William Cobbett Primary School,936,2478,936/2478,30,138,30,4.317
2020,Witley Church of England (Controlled) Infant School,936,3060,936/3060,30,122,30,2.63
2020,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,30,106,30,2.042
