"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","BSOInspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","InspectorateName (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","QABName (name)","EstablishmentAccredited (name)","QABReport","CHNumber","MSOA (code)","LSOA (code)"
125391,"936","Surrey","6307","Ripley Court School","Other independent school","Independent schools","Open","Not applicable","24-10-1957","Not applicable","","Not applicable",2,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","None","None","Not applicable","Not applicable",360,"No Special Classes","16-01-2020","211","117","94","0.0","Not applicable","","Not applicable","","Not applicable","",10017380,"","Not applicable","","07-04-2021","Rose Lane","Ripley","","Woking","Surrey","GU23 6NE","www.ripleycourt.co.uk","01483225217","Ms","Aislinn","Clarke","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Guildford","Lovelace","Mole Valley","(England/Wales) Rural village","E10000030",505338,156523,"","Guildford 001","Guildford 001C","ISI",0,47,"London Orphan Asylum (trading as Reed's School)","","South-East England and South London","","100062337124","","Not applicable","Not applicable","","","E02006344","E01030459"
125392,"936","Surrey","6308","Barfield School","Other independent school","Independent schools","Open","Not applicable","28-10-1957","Not applicable","","Not applicable",2,13,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","None","None","Not applicable","Non-selective",265,"No Special Classes","16-01-2020","177","99","78","0.0","Not applicable","","Not applicable","","Not applicable","",10018742,"","Not applicable","","21-04-2021","","Runfold","","Guildford","Surrey","GU10 1PB","www.barfieldschool.com","01252782271","Mr","Andrew","Boyle","Headmaster","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Waverley","Farnham Moor Park","South West Surrey","(England/Wales) Rural village","E10000030",486716,147425,"","Waverley 004","Waverley 004D","ISI",0,35,"The Cothill Trust","","South-East England and South London","","100062162092","","Not applicable","Not applicable","","","E02006442","E01030894"
125393,"936","Surrey","6315","Longacre School","Other independent school","Independent schools","Open","Not applicable","31-10-1957","Not applicable","","Not applicable",2,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","None","Inter- / non- denominational","Not applicable","Not applicable",300,"No Special Classes","16-01-2020","273","162","111","0","Not applicable","","Not applicable","","Not applicable","",10071090,"","Not applicable","","17-03-2021","Hullbrook Lane","Shamley Green","","Guildford","Surrey","GU5 0NQ","www.longacreschool.co.uk","01483893225","Mr","Matthew","Bryan","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Waverley","Shamley Green and Cranleigh North","Guildford","(England/Wales) Rural village","E10000030",502704,143654,"","Waverley 008","Waverley 008D","ISI",4,56,"","","South-East England and South London","","100062349974","","Not applicable","Not applicable","","","E02006446","E01030940"
125394,"936","Surrey","6347","Chinthurst School","Other independent school","Independent schools","Open","Not applicable","17-10-1957","Not applicable","","Not applicable",2,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","None","None","Not applicable","Non-selective",400,"No Special Classes","16-01-2020","202","119","83","","Not applicable","","Not applicable","","Not applicable","",10018618,"","Not applicable","","16-03-2021","52 Tadworth Street","Tadworth","Surrey","","","KT20 5QZ","","01737812011","Miss","Catherine","Trundle","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Reigate and Banstead","Lower Kingswood, Tadworth & Walton","Reigate","(England/Wales) Urban major conurbation","E10000030",523069,155710,"","Reigate and Banstead 006","Reigate and Banstead 006E","ISI",0,40,"Reigate Grammar School","","South-East England and South London","","68146181","","Not applicable","Not applicable","","","E02006380","E01030639"
125396,"936","Surrey","6369","Westward School","Other independent school","Independent schools","Open","Not applicable","11-10-1957","Not applicable","","Not applicable",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","None","Christian","Not applicable","Not applicable",151,"No Special Classes","16-01-2020","125","65","60","0.0","Not applicable","","Not applicable","","Not applicable","",10080503,"","Not applicable","","07-04-2021","47 Hersham Road","","","Walton-on-Thames","Surrey","KT12 1LE","www.westwardschool.co.uk","01932220911","Mrs","Shelley","Stevenson","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Elmbridge","Walton South","Esher and Walton","(England/Wales) Urban major conurbation","E10000030",510619,165654,"","Elmbridge 010","Elmbridge 010D","ISI",0,8,"PATRICIA TOWNLEY","","South-East England and South London","","10033322157","","Not applicable","Not applicable","","","E02006326","E01030367"
125397,"936","Surrey","6395","Hoe Bridge School","Other independent school","Independent schools","Open","Not applicable","14-11-1957","Not applicable","","Not applicable",2,13,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","None","None","Not applicable","Not applicable",500,"No Special Classes","16-01-2020","443","318","125","0","Not applicable","","Not applicable","","Not applicable","",10018723,"","Not applicable","","25-03-2021","Hoe Place","Old Woking Road","Woking","Surrey","","GU22 8JE","www.hoebridgeschool.co.uk","01483760018","Mr","Christopher","Webster","Headmaster","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Woking","Mount Hermon","Woking","(England/Wales) Urban major conurbation","E10000030",502083,157569,"","Woking 006","Woking 006C","ISI",6,58,"","","South-East England and South London","","200000204964","","Not applicable","Not applicable","","","E02006461","E01030990"
125399,"936","Surrey","6401","Greenfield School","Other independent school","Independent schools","Open","Not applicable","08-01-1958","Not applicable","","Not applicable",3,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","None","None","Not applicable","Non-selective",350,"No Special Classes","16-01-2020","251","137","114","0.0","Not applicable","","Not applicable","","Not applicable","",10080502,"","Not applicable","","21-04-2021","Old Woking Road","","","Woking","Surrey","GU22 8HY","","01483772525","Mrs","T","Botting","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Woking","Mount Hermon","Woking","(England/Wales) Urban major conurbation","E10000030",502270,158793,"","Woking 006","Woking 006B","ISI",2,35,"","","South-East England and South London","United Kingdom","100062703864","","Not applicable","Not applicable","","","E02006461","E01030989"
125400,"936","Surrey","6402","Halstead Preparatory School","Other independent school","Independent schools","Open","Not applicable","01-01-1953","Not applicable","","Not applicable",2,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Girls","None","Church of England","Not applicable","Non-selective",260,"No Special Classes","16-01-2020","215","0","215","0","Not applicable","","Not applicable","","Not applicable","",10075182,"","Not applicable","","25-02-2021","Woodham Rise","","","Woking","Surrey","GU21 4EE","halstead-school.org.uk","01483772682","Mrs","Sharon","Maher","Headmistress","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Woking","Horsell","Woking","(England/Wales) Urban major conurbation","E10000030",501045,159996,"","Woking 003","Woking 003B","ISI",1,12,"","","South-East England and South London","","100062609117","","Not applicable","Not applicable","","","E02006458","E01030964"
125402,"936","Surrey","6418","St Teresa's School","Other independent school","Independent schools","Open","Not applicable","01-01-1943","Not applicable","","Not applicable",4,18,"Boarding school","No Nursery Classes","Has a sixth form","Girls","Roman Catholic","Roman Catholic","Not applicable","Not applicable",700,"No Special Classes","16-01-2020","638","0","638","0.0","Not applicable","","Not applicable","","Not applicable","",10008525,"","Not applicable","","01-03-2021","Effingham Hill","","","Dorking","Surrey","RH5 6ST","www.st-teresas.com","01372452037","Dr","Claire","McShane","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","South East","Guildford","Effingham","Mole Valley","(England/Wales) Rural hamlet and isolated dwellings","E10000030",511943,151075,"","Guildford 003","Guildford 003F","ISI",3,103,"St Teresa's School Effingham Trust","","South-East England and South London","","10007063829","","Not applicable","Not applicable","","","E02006346","E01030446"
125403,"936","Surrey","6420","More House School","Other independent special school","Special schools","Open","Not applicable","21-10-1957","Not applicable","","Not applicable",8,19,"Boarding school","No Nursery Classes","Has a sixth form","Boys","Catholic","Roman Catholic","Not applicable","Not applicable",490,"Has Special Classes","16-01-2020","484","484","0","0.0","Not applicable","","Not applicable","","Not applicable","",10016607,"","Not applicable","07-03-2019","01-12-2020","Moons Hill","Frensham","","Farnham","Surrey","GU10 3AP","www.morehouseschool.com","01252792303","Mr","Jonathan","Hetherington","Headmaster","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","SpLD - Specific Learning Difficulty","SLCN - Speech, language and Communication","","","","","","","","","","","","","","","","","South East","Waverley","Farnham Wrecclesham and Rowledge","South West Surrey","(England/Wales) Urban city and town","E10000030",484075,142862,"","Waverley 009","Waverley 009D","Ofsted",254,230,"","Outstanding","South-East England and South London","","100062321713","","Not applicable","Not applicable","","","E02006447","E01030907"
