source_table,source_field,source_value_example,keep_indicator,model_table,model_field_name,comments
r_info,locality,Duke's Place,Keep,dim_school,locality,
r_info,address3,,Keep,dim_school,address3,
r_info,town,London,Keep,dim_school,town,
r_info,county_name,,Keep,dim_school,county_name,
r_info,postcode,EC3A 5DE,Keep,dim_school,postcode,
r_info,school_website,www.thealdgateschool.org,Keep,dim_school,school_website,
r_info,telephone_num,2072831147,Keep,dim_school,telephone_num,
r_info,head_title_name,Miss,Keep,dim_school,head_title,
r_info,head_first_name,Alexandra,Keep,dim_school,head_first_name,
r_info,head_last_name,Allan,Keep,dim_school,head_last_name,
r_info,head_preferred_job_title,Headteacher,Keep,dim_school,head_preferred_job_title,
r_info,bso_inspectorate_name_name,Not applicable,Reject,,,
r_info,inspectorate_report,,Reject,,,
r_info,date_of_last_inspection_visit,,Reject,,,
r_info,next_inspection_visit,,Reject,,,
r_info,teen_moth_name,Not applicable,Reject,,,
r_info,teen_moth_places,,Reject,,,
r_info,ccf_name,Not applicable,Reject,,,
r_info,senpru_name,Not applicable,Reject,,,
r_info,ebd_name,Not applicable,Reject,,,
r_info,places_pru,,Reject,,,
r_info,ft_prov_name,,Reject,,,
r_info,ed_by_other_name,Not applicable,Reject,,,
r_info,section41approved_name,Not applicable,Reject,,,
r_info,sen1_name,,Reject,,,
r_info,sen2_name,,Reject,,,
r_info,sen3_name,,Reject,,,
r_info,sen4_name,,Reject,,,
r_info,sen5_name,,Reject,,,
r_info,sen6_name,,Reject,,,
r_info,sen7_name,,Reject,,,
r_info,sen8_name,,Reject,,,
r_info,sen9_name,,Reject,,,
r_info,sen10_name,,Reject,,,
r_info,sen11_name,,Reject,,,
r_info,sen12_name,,Reject,,,
r_info,sen13_name,,Reject,,,
r_info,type_of_resourced_provision_name,,Reject,,,
r_info,resourced_provision_on_roll,,Reject,,,
r_info,resourced_provision_capacity,,Reject,,,
r_info,sen_unit_on_roll,,Reject,,,
r_info,sen_unit_capacity,,Reject,,,
r_info,gor_name,London,Reject,,,
r_info,district_administrative_name,City of London,Keep,dim_school,administrative_district,
r_info,administrative_ward_name,Portsoken,Keep,dim_school,administrative_ward,
r_info,parliamentary_constituency_name,Cities of London and Westminster,Reject,,,
r_info,urban_rural_name,(England/Wales) Urban major conurbation,Reject,,,
r_info,gssla_code_name,E09000001,Reject,,,
r_info,easting,533498,Keep,dim_school,easting,Convert to lat/long
r_info,northing,181201,Keep,dim_school,northing,Convert to lat/long
r_info,msoa_name,City of London 001,Reject,,,
r_info,lsoa_name,City of London 001F,Reject,,,
r_info,inspectorate_name_name,,Reject,,,
r_info,sen_stat,,Reject,,,
r_info,sen_no_stat,,Reject,,,
r_info,props_name,,Reject,,,
r_info,ofsted_rating_name,Outstanding,Keep,fact_school,ofsted_rating_name,Also add ofsted_rating_score
r_info,rsc_region_name,North-West London and South-Central England,Reject,,,
r_info,country_name,,Reject,,,
r_info,uprn,200000071925,Reject,,,
r_info,site_name,,Reject,,,
r_info,qab_name_name,Not applicable,Reject,,,
r_info,establishment_accredited_name,Not applicable,Reject,,,
r_info,qab_report,,Reject,,,
r_info,ch_number,,Reject,,,
