source_table,source_field,source_value_example
r_ks2,TAB1618,0
r_ks2,TOTPUPS,465
r_ks2,TPUPYEAR,107
r_ks2,TELIG,109
r_ks2,BELIG,48
r_ks2,GELIG,61
r_ks2,PBELIG,44%
r_ks2,PGELIG,56%
r_ks2,TKS1AVERAGE,16.7
r_ks2,TKS1GROUP_L,8
r_ks2,PTKS1GROUP_L,7%
r_ks2,TKS1GROUP_M,60
r_ks2,PTKS1GROUP_M,56%
r_ks2,TKS1GROUP_H,40
r_ks2,PTKS1GROUP_H,37%
r_ks2,TKS1GROUP_NA,1
r_ks2,PTKS1GROUP_NA,1%
r_ks2,TFSM6CLA1A,17
r_ks2,PTFSM6CLA1A,16%
r_ks2,TNotFSM6CLA1A,92
r_ks2,PTNotFSM6CLA1A,84%
r_ks2,TEALGRP2,8
r_ks2,PTEALGRP2,7%
r_ks2,TMOBN,98
r_ks2,PTMOBN,90%
r_ks2,TSENELSE,4
r_ks2,PSENELSE,4%
r_ks2,PTRWM_EXP,72%
r_ks2,PTRWM_HIGH,17%
r_ks2,READPROG,1.2
r_ks2,READPROG_LOWER,0.0
r_ks2,READPROG_UPPER,2.4
r_ks2,READCOV,94%
r_ks2,WRITPROG,2.3
r_ks2,WRITPROG_LOWER,1.2
r_ks2,WRITPROG_UPPER,3.4
r_ks2,WRITCOV,99%
r_ks2,MATPROG,-0.1
r_ks2,MATPROG_LOWER,-1.2
r_ks2,MATPROG_UPPER,1.0
r_ks2,MATCOV,94%
r_ks2,PTREAD_EXP,78%
r_ks2,PTREAD_HIGH,42%
r_ks2,PTREAD_AT,0%
r_ks2,READ_AVERAGE,107
r_ks2,PTGPS_EXP,80%
r_ks2,PTGPS_HIGH,31%
r_ks2,PTGPS_AT,0%
r_ks2,GPS_AVERAGE,106
r_ks2,PTMAT_EXP,77%
r_ks2,PTMAT_HIGH,28%
r_ks2,PTMAT_AT,0%
r_ks2,MAT_AVERAGE,106
r_ks2,PTWRITTA_EXP,85%
r_ks2,PTWRITTA_HIGH,39%
r_ks2,PTWRITTA_WTS,15%
r_ks2,PTWRITTA_AD,0%
r_ks2,PTSCITA_EXP,85%
r_ks2,PTSCITA_AD,0%
r_ks2,PTREADTA_EXP,86%
r_ks2,PTREADTA_AD,0%
r_ks2,PTMATTA_EXP,82%
r_ks2,PTMATTA_AD,0%
r_ks2,PTRWM_EXP_B,71%
r_ks2,PTRWM_EXP_G,74%
r_ks2,PTRWM_EXP_L,0%
r_ks2,PTRWM_EXP_M,63%
r_ks2,PTRWM_EXP_H,100%
r_ks2,PTRWM_EXP_FSM6CLA1A,59%
r_ks2,PTRWM_EXP_NotFSM6CLA1A,75%
r_ks2,DIFFN_RWM_EXP,-8
r_ks2,PTRWM_EXP_EAL,63%
r_ks2,PTRWM_EXP_MOBN,73%
r_ks2,PTRWM_HIGH_B,15%
r_ks2,PTRWM_HIGH_G,18%
r_ks2,PTRWM_HIGH_L,0%
r_ks2,PTRWM_HIGH_M,3%
r_ks2,PTRWM_HIGH_H,38%
r_ks2,PTRWM_HIGH_FSM6CLA1A,6%
r_ks2,PTRWM_HIGH_NotFSM6CLA1A,18%
r_ks2,DIFFN_RWM_HIGH,-5
r_ks2,PTRWM_HIGH_EAL,0%
r_ks2,PTRWM_HIGH_MOBN,18%
r_ks2,READPROG_B,1.1
r_ks2,READPROG_B_LOWER,-0.7
r_ks2,READPROG_B_UPPER,2.9
r_ks2,READPROG_G,1.3
r_ks2,READPROG_G_LOWER,-0.3
r_ks2,READPROG_G_UPPER,2.9
r_ks2,READPROG_L,SUPP
r_ks2,READPROG_L_LOWER,SUPP
r_ks2,READPROG_L_UPPER,SUPP
r_ks2,READPROG_M,0.6
r_ks2,READPROG_M_LOWER,-1.0
r_ks2,READPROG_M_UPPER,2.2
r_ks2,READPROG_H,2.3
r_ks2,READPROG_H_LOWER,0.4
r_ks2,READPROG_H_UPPER,4.2
r_ks2,READPROG_FSM6CLA1A,-0.3
r_ks2,READPROG_FSM6CLA1A_LOWER,-3.3
r_ks2,READPROG_FSM6CLA1A_UPPER,2.7
r_ks2,READPROG_NotFSM6CLA1A,1.5
r_ks2,READPROG_NotFSM6CLA1A_LOWER,0.2
r_ks2,READPROG_NotFSM6CLA1A_UPPER,2.8
r_ks2,DIFFN_READPROG,-0.6
r_ks2,READPROG_EAL,1.0
r_ks2,READPROG_EAL_LOWER,-3.6
r_ks2,READPROG_EAL_UPPER,5.6
r_ks2,READPROG_MOBN,1.5
r_ks2,READPROG_MOBN_LOWER,0.2
r_ks2,READPROG_MOBN_UPPER,2.8
r_ks2,WRITPROG_B,0.9
r_ks2,WRITPROG_B_LOWER,-0.8
r_ks2,WRITPROG_B_UPPER,2.6
r_ks2,WRITPROG_G,3.4
r_ks2,WRITPROG_G_LOWER,1.9
r_ks2,WRITPROG_G_UPPER,4.9
r_ks2,WRITPROG_L,2.6
r_ks2,WRITPROG_L_LOWER,-1.6
r_ks2,WRITPROG_L_UPPER,6.8
r_ks2,WRITPROG_M,1.7
r_ks2,WRITPROG_M_LOWER,0.2
r_ks2,WRITPROG_M_UPPER,3.2
r_ks2,WRITPROG_H,3.1
r_ks2,WRITPROG_H_LOWER,1.2
r_ks2,WRITPROG_H_UPPER,5.0
r_ks2,WRITPROG_FSM6CLA1A,1.7
r_ks2,WRITPROG_FSM6CLA1A_LOWER,-1.2
r_ks2,WRITPROG_FSM6CLA1A_UPPER,4.6
r_ks2,WRITPROG_NotFSM6CLA1A,2.4
r_ks2,WRITPROG_NotFSM6CLA1A_LOWER,1.2
r_ks2,WRITPROG_NotFSM6CLA1A_UPPER,3.6
r_ks2,DIFFN_WRITPROG,1.5
r_ks2,WRITPROG_EAL,4.3
r_ks2,WRITPROG_EAL_LOWER,0.1
r_ks2,WRITPROG_EAL_UPPER,8.5
r_ks2,WRITPROG_MOBN,2.4
r_ks2,WRITPROG_MOBN_LOWER,1.2
r_ks2,WRITPROG_MOBN_UPPER,3.6
r_ks2,MATPROG_B,0.4
r_ks2,MATPROG_B_LOWER,-1.2
r_ks2,MATPROG_B_UPPER,2.0
r_ks2,MATPROG_G,-0.6
r_ks2,MATPROG_G_LOWER,-2.1
r_ks2,MATPROG_G_UPPER,0.9
r_ks2,MATPROG_L,SUPP
r_ks2,MATPROG_L_LOWER,SUPP
r_ks2,MATPROG_L_UPPER,SUPP
r_ks2,MATPROG_M,-0.3
r_ks2,MATPROG_M_LOWER,-1.7
r_ks2,MATPROG_M_UPPER,1.1
r_ks2,MATPROG_H,0.0
r_ks2,MATPROG_H_LOWER,-1.7
r_ks2,MATPROG_H_UPPER,1.7
r_ks2,MATPROG_FSM6CLA1A,-0.5
r_ks2,MATPROG_FSM6CLA1A_LOWER,-3.2
r_ks2,MATPROG_FSM6CLA1A_UPPER,2.2
r_ks2,MATPROG_NotFSM6CLA1A,-0.1
r_ks2,MATPROG_NotFSM6CLA1A_LOWER,-1.3
r_ks2,MATPROG_NotFSM6CLA1A_UPPER,1.1
r_ks2,DIFFN_MATPROG,-0.8
r_ks2,MATPROG_EAL,-0.9
r_ks2,MATPROG_EAL_LOWER,-4.8
r_ks2,MATPROG_EAL_UPPER,3.0
r_ks2,MATPROG_MOBN,0.2
r_ks2,MATPROG_MOBN_LOWER,-0.9
r_ks2,MATPROG_MOBN_UPPER,1.3
r_ks2,READ_AVERAGE_B,106
r_ks2,READ_AVERAGE_G,108
r_ks2,READ_AVERAGE_L,94
r_ks2,READ_AVERAGE_M,104
r_ks2,READ_AVERAGE_H,113
r_ks2,READ_AVERAGE_FSM6CLA1A,103
r_ks2,READ_AVERAGE_NotFSM6CLA1A,108
r_ks2,READ_AVERAGE_EAL,106
r_ks2,READ_AVERAGE_MOBN,108
r_ks2,MAT_AVERAGE_B,105
r_ks2,MAT_AVERAGE_G,106
r_ks2,MAT_AVERAGE_L,95
