la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
75,2020,1,10656,8810,7939,3,8324,309,74,8708,102,0,8577,233
66,2020,1,3405,3224,2575,3,2974,127,33,3138,86,0,3046,237
121,2020,1,6553,5294,5081,3,4951,225,47,5223,71,0,5162,132
119,2020,1,3230,2710,2694,3,2584,85,14,2683,27,0,2657,53
92,2020,1,1555,1419,1376,3,1223,122,46,1391,28,0,1353,66
96,2020,1,1759,1576,1530,6,1302,117,40,1502,67,7,1531,38
93,2020,1,2038,1748,1637,3,1557,116,36,1709,39,0,1680,68
94,2020,1,2110,2077,1941,4,1744,185,58,2011,66,0,1862,217
95,2020,1,2445,2251,2004,3,2003,158,42,2203,48,0,2097,154
97,2020,1,2359,2077,2000,4,1787,157,55,2021,56,0,2014,63
85,2020,1,8338,6815,6652,3,6381,290,47,6718,96,1,6747,67
79,2020,1,3363,2771,2674,3,2588,128,19,2735,36,0,2745,26
14,2020,1,1689,1413,1345,3,1281,86,18,1385,28,0,1357,72
15,2020,1,2705,2302,2256,3,2184,91,10,2285,17,0,2286,16
124,2020,1,9358,7440,7149,3,7042,222,45,7309,123,8,7380,52
115,2020,1,3382,2753,2626,3,2583,129,20,2732,21,0,2666,87
116,2020,1,1487,1316,1203,3,1211,58,18,1287,29,0,1276,40
86,2020,1,19176,16129,15887,4,14365,1072,285,15842,285,2,15892,237
81,2020,1,2199,2074,1913,3,1826,152,43,2021,53,0,2069,29
82,2020,1,2532,2525,2481,4,2231,158,40,2442,77,6,2442,77
64,2020,1,2228,1675,1651,3,1610,48,5,1663,12,0,1644,31
77,2020,1,7074,6239,5935,3,5705,289,75,6070,167,2,6076,161
106,2020,1,19676,17494,17126,3,15369,1194,388,16951,456,87,17249,158
91,2020,1,3893,3487,3450,6,3093,241,67,3413,74,0,3376,111
36,2020,1,15767,13450,13140,3,11905,914,239,13058,379,13,13273,164
16,2020,1,2350,1978,1907,3,1757,132,37,1926,52,0,1896,82
17,2020,1,1858,1441,1287,3,1354,55,10,1419,22,0,1381,60
62,2020,1,10613,8880,8880,4,8203,428,86,8741,139,0,8693,187
57,2020,1,4133,3683,3241,6,3270,236,43,3578,103,2,3467,214
67,2020,1,3328,2901,2875,3,2714,121,19,2854,47,0,2828,73
65,2020,1,2458,1995,1995,4,1860,82,18,1963,32,0,1964,31
18,2020,1,4631,4014,3877,3,3668,213,54,3936,78,0,3929,85
19,2020,1,4390,3660,3613,3,3329,183,68,3580,79,1,3609,50
120,2020,1,6726,5411,5321,3,5088,210,31,5329,82,0,5389,22
35,2020,1,6330,4665,3971,3,4540,79,7,4626,39,0,4657,8
126,2020,1,8045,6778,6475,5,6150,318,98,6614,158,6,6654,118
87,2020,1,15436,14170,14090,4,12379,1025,344,13885,285,0,13939,231
102,2020,1,1445,1135,1033,3,1085,31,2,1118,17,0,1135,0
60,2020,1,9393,7499,7241,3,7050,308,51,7409,90,0,7414,85
88,2020,1,10453,8911,8150,3,8349,315,76,8740,157,14,8775,130
61,2020,1,10724,8735,8570,3,8124,401,86,8611,124,0,8626,109
7,2020,1,3982,2839,2702,4,2780,54,3,2837,0,2,2820,17
