year_key,la_key,school_key,nc_key,criterion_key,criterion_priority,criterion_offers
2018,108,9511,1,47,1,0
2018,108,9511,1,46,2,0
2018,108,9511,1,38,3,11
2018,108,9511,1,8,4,0
2018,108,9511,1,65,5,6
2018,108,9511,1,25,6,0
2018,108,9511,1,4,7,3
2018,108,9511,1,18,8,10
2018,108,9511,1,1,9,0
2018,108,9511,1,44,10,0
2018,108,9511,1,2,11,0
2018,108,9438,1,47,1,1
2018,108,9438,1,46,2,0
2018,108,9438,1,37,3,3
2018,108,9438,1,6,4,11
2018,108,9438,1,21,5,26
2018,108,9438,1,1,6,0
2018,108,9438,1,44,7,2
2018,108,9438,1,2,8,0
2018,108,9408,1,47,1,0
2018,108,9408,1,46,2,0
2018,108,9408,1,37,3,16
2018,108,9408,1,6,4,14
2018,108,9408,1,21,5,0
2018,108,9408,1,1,6,0
2018,108,9408,1,44,7,0
2018,108,9408,1,2,8,0
2018,108,9536,1,47,1,0
2018,108,9536,1,46,2,0
2018,108,9536,1,37,3,7
2018,108,9536,1,11,4,15
2018,108,9536,1,85,5,0
2018,108,9536,1,89,6,0
2018,108,9536,1,21,7,0
2018,108,9536,1,1,8,0
2018,108,9536,1,44,9,0
2018,108,9536,1,2,10,1
2018,108,20178,1,47,1,0
2018,108,20178,1,46,2,0
2018,108,20178,1,37,3,0
2018,108,20178,1,6,4,31
2018,108,20178,1,21,5,28
2018,108,20178,1,1,6,0
2018,108,20178,1,44,7,1
2018,108,20178,1,2,8,0
2018,108,10827,1,47,1,0
2018,108,10827,1,46,2,0
2018,108,10827,1,37,3,12
2018,108,10827,1,6,4,10
2018,108,10827,1,21,5,8
2018,108,10827,1,1,6,0
2018,108,10827,1,44,7,0
2018,108,10827,1,2,8,0
2018,108,9497,1,47,1,0
2018,108,9497,1,46,2,1
2018,108,9497,1,37,3,3
2018,108,9497,1,40,4,4
2018,108,9497,1,14,5,8
2018,108,9497,1,48,6,1
2018,108,9497,1,49,7,3
2018,108,9497,1,73,8,0
2018,108,9497,1,23,9,3
2018,108,9497,1,1,10,0
2018,108,9497,1,44,11,0
2018,108,9497,1,2,12,0
2018,108,9475,1,47,1,0
2018,108,9475,1,46,2,0
2018,108,9475,1,37,3,11
2018,108,9475,1,6,4,39
2018,108,9475,1,21,5,0
2018,108,9475,1,1,6,0
2018,108,9475,1,44,7,0
2018,108,9475,1,2,8,0
2018,108,20107,1,47,1,0
2018,108,20107,1,46,2,0
2018,108,20107,1,37,3,6
2018,108,20107,1,6,4,11
2018,108,20107,1,21,5,13
2018,108,20107,1,1,6,0
2018,108,20107,1,44,7,0
2018,108,20107,1,2,8,0
2018,108,9537,1,47,1,0
2018,108,9537,1,45,2,0
2018,108,9537,1,37,3,14
2018,108,9537,1,15,4,6
2018,108,9537,1,88,5,0
2018,108,9537,1,64,6,0
2018,108,9537,1,67,7,1
2018,108,9537,1,19,8,8
2018,108,9537,1,1,9,0
2018,108,9537,1,44,10,0
2018,108,9537,1,2,11,0
2018,108,18828,1,47,1,1
2018,108,18828,1,46,2,0
2018,108,18828,1,37,3,6
2018,108,18828,1,10,4,1
2018,108,18828,1,21,5,1
2018,108,18828,1,1,6,0
2018,108,18828,1,44,7,0
2018,108,18828,1,2,8,0
2018,108,18968,1,47,1,0
2018,108,18968,1,46,2,0
2018,108,18968,1,37,3,15
2018,108,18968,1,6,4,9
2018,108,18968,1,21,5,1
2018,108,18968,1,1,6,2
2018,108,18968,1,44,7,0
2018,108,18968,1,2,8,1
2018,108,15159,1,47,1,0
2018,108,15159,1,46,2,0
2018,108,15159,1,31,3,1
2018,108,15159,1,37,4,16
2018,108,15159,1,21,5,27
2018,108,15159,1,1,6,0
