lea,urn,estab,dfe_number,laestab,schname,admin_district,academic_year,estab_type,education_phase,relchar,percentage_fsm,ofsted_rating,totpups,readprog,writprog,matprog
850,115870,2028,850/2028,8502028,Burley Primary School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,9.3,Good,105,2,1.1,1.3
850,115870,2028,850/2028,8502028,Burley Primary School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,9.3,Good,107,1.9,-3.2,-3.1
850,115870,2028,850/2028,8502028,Burley Primary School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,9.3,Good,105,-2.3,-5.2,-3.5
850,115871,2030,850/2030,8502030,Stoke Park Junior School,Eastleigh,2016-2017,Local authority maintained schools,Primary,Does not apply,18.1,Good,354,-1.7,3.5,-1.2
850,115871,2030,850/2030,8502030,Stoke Park Junior School,Eastleigh,2017-2018,Local authority maintained schools,Primary,Does not apply,18.1,Good,368,-1.7,1,-1.3
850,115871,2030,850/2030,8502030,Stoke Park Junior School,Eastleigh,2018-2019,Local authority maintained schools,Primary,Does not apply,18.1,Good,349,0.3,0.9,1
850,115873,2034,850/2034,8502034,Merdon Junior School,Eastleigh,2016-2017,Local authority maintained schools,Primary,Does not apply,9.1,Good,259,-1,-0.7,-2
850,115873,2034,850/2034,8502034,Merdon Junior School,Eastleigh,2017-2018,Local authority maintained schools,Primary,Does not apply,9.1,Good,261,0.9,-1.6,-0.3
850,115873,2034,850/2034,8502034,Merdon Junior School,Eastleigh,2018-2019,Local authority maintained schools,Primary,Does not apply,9.1,Good,258,1.4,-0.6,1.2
850,115874,2035,850/2035,8502035,Cheriton Primary School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,5.3,Outstanding,95,4.5,-2.3,1.5
850,115874,2035,850/2035,8502035,Cheriton Primary School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,5.3,Outstanding,99,2.2,-0.3,-0.9
850,115874,2035,850/2035,8502035,Cheriton Primary School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,5.3,Outstanding,96,1,1.1,-3.5
850,115876,2040,850/2040,8502040,Clanfield Junior School,East Hampshire,2016-2017,Local authority maintained schools,Primary,Does not apply,8.9,Good,231,-1.1,-0.7,-0.8
850,115876,2040,850/2040,8502040,Clanfield Junior School,East Hampshire,2017-2018,Local authority maintained schools,Primary,Does not apply,8.9,Good,268,-1.6,0.4,-1
850,115876,2040,850/2040,8502040,Clanfield Junior School,East Hampshire,2018-2019,Local authority maintained schools,Primary,Does not apply,8.9,Good,280,-1.6,0.3,-2.6
850,115877,2041,850/2041,8502041,Cliddesden Primary School,Basingstoke and Deane,2016-2017,Local authority maintained schools,Primary,Does not apply,10.4,Good,107,0.5,1,-1
